mode,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10
All Modes by Qtr,NA,NA,1187.653,NA,NA,1245.959,NA,NA,1256.571,NA,NA,1216.89,NA,NA,1253.522,NA,NA,1314.821,NA,NA,1307.041,NA,NA,1232.655,NA,NA,1209.792,NA,NA,1233.085,NA,NA,1230.461,NA,NA,1207.845,NA,NA,1208.857,NA,NA,1244.409,NA,NA,1225.527,NA,NA,1216.262,NA,NA,1223.452,NA,NA,1302.414,NA,NA,1290.549,NA
Boat,4,3.6,40,4.3,4.9,5.8,6.521,6.572,5.469,5.145,3.763,2.985,3.175,3.111,3.512,4.164,4.015,5.189,6.016,5.8,4.587,4.285,3.488,3.007,3.014,3.196,3.33,4.049,4.119,4.9,6.444,5.903,4.696,4.212,3.576,3.113,3.207,3.195,3.481,4.452,4.415,5.411,6.513,6.269,4.699,4.402,3.731,3.156,3.14,3.284,3.674,4.251,4.431,5.474,6.581,6.733,5.003,4.484
Bus,335.819,338.675,339.867,352.162,354.367,350.543,357.519,355.479,372.598,368.847,330.826,312.92,340.324,352.905,361.155,368.189,363.903,362.962,370.921,361.057,389.537,357.974,345.423,325.767,338.532,360.412,353.686,359.38,354.75,347.865,339.477,332.661,374.26,385.868,366.98,332.394,362.226,361.138,373.443,378.611,380.171,363.275,353.04,343.688,381.622,384.987,367.955,326.338,334.958,346.234,380.399,380.446,385.289,376.317,361.585,353.793,388.271,398.456
Commuter Rail,142.2,138.5,137.7,139.5,139,143,142.391,142.364,143.051,146.542,145.089,141.585,142.145,142.607,137.453,140.389,142.585,142.057,145.731,144.565,141.907,151.957,152.952,140.81,141.448,143.529,142.893,142.34,144.225,142.006,137.691,139.158,139.087,137.104,129.343,126.066,130.91,131.918,131.252,131.722,128.8,129.144,122.935,129.732,132.892,131.033,130.889,121.422,128.396,125.463,134.374,134.169,136.14,135.581,132.41,130.616,136.901,128.72
Heavy Rail,435.294,448.271,458.583,472.201,474.579,477.032,471.735,461.605,499.566,457.741,488.348,448.268,472.624,492.1,494.046,513.204,507.952,518.349,512.309,476.99,517.324,523.644,487.115,446.743,461.004,482.407,467.224,493.152,475.634,473.099,470.828,466.676,500.403,513.406,480.278,440.925,464.069,480.121,483.397,502.374,487.4,490.263,488.587,473.731,521.099,532.403,502.887,450.433,468.418,504.068,516.73,528.631,528.122,529.528,532.888,508.145,550.137,554.932
Light Rail,227.231,240.262,241.444,255.557,248.262,246.108,243.286,234.907,265.748,241.434,250.497,233.379,241.223,249.306,253.132,271.07,258.351,266.961,270.158,239.344,258.171,250.063,232.068,205.42,215.66,228.737,222.844,238.232,224.962,226.259,230.308,231.783,250.922,230.739,214.711,194.446,204.396,213.136,211.693,227.246,217.805,215.922,218.729,210.53,236.368,236.366,221.881,196.211,198.45,219.886,227.935,242.28,225.776,221.865,231.01,220.164,244.949,237.768
Pct Chg / Yr,0.02,-0.04,0.114,-0.002,0.049,0.096,-0.037,0.004,-0.007,-0.064,-0.077,-0.06,0.048,0.061,0.058,0.06,0.046,0.06,0.069,0.023,0.021,0.054,0.002,-0.015,-0.034,-0.02,-0.05,-0.048,-0.058,-0.079,-0.094,-0.044,-0.035,-0.014,-0.022,-0.022,0.004,-0.022,0.012,0.007,0.013,0.008,0.001,-0.015,0.001,0.009,0.022,-0.004,-0.028,0.008,0.05,0.036,0.05,0.054,0.067,0.052,0.043,0.032
Private Bus,4.772,4.417,4.574,4.542,4.768,4.722,3.936,3.946,4.329,4.315,4.081,3.708,4.122,4.079,4.175,4.144,4.079,4.4,4.548,4.286,4.878,4.556,4.302,3.42,3.584,3.604,2.586,2.824,2.735,2.763,2.655,2.504,2.716,2.584,2.721,2.365,2.682,2.498,2.55,2.639,2.686,2.646,2.547,2.433,2.652,2.616,2.528,2.379,2.213,2.57,2.559,2.762,2.776,2.815,2.671,2.655,2.843,2.967
RIDE,4.9,5,5.5,5.4,5.4,5.6,5.253,5.308,5.609,5.806,5.667,5.062,5.535,5.704,6.164,6.263,6.279,6.294,6.028,6.148,6.503,6.678,6.41,5.957,5.991,6.708,6.675,6.734,6.693,6.79,6.249,6.423,6.69,6.897,6.565,6.454,6.516,6.665,7.066,7.166,7.1,7.46,6.965,7.045,7.349,7.646,7.444,7.199,6.735,7.463,8.387,8.145,8.059,8.377,7.902,8.071,8.318,8.598
Trackless Trolley,12.757,12.913,13.057,13.444,13.479,13.323,13.311,13.142,14.393,14.622,13.624,12.41,13.902,14.172,14.394,14.722,14.427,14.515,14.392,13.716,15.109,13.014,12.596,11.91,12.301,9.645,11.674,11.326,12.49,12.382,11.426,12.05,12.79,13.252,12.651,11.62,12.265,12.558,12.673,13.017,12.771,11.473,6.584,6.316,6.436,6.819,6.415,5.777,11.104,11.695,12.601,12.599,12.291,12.128,11.06,11.091,12.332,12.297
